time,open,high,low,close,Volume
2015-05-21,131.0,132.4,127.75,128.885,339010
2015-05-22,128.22,130.0,126.755,128.17,27810
2015-05-25,129.895,129.895,124.5,125.21,17030
2015-05-26,126.115,127.8,122.6,124.09,23840
2015-05-27,123.195,126.39,121.8,124.575,54570
2015-05-28,122.985,123.8,120.4,122.215,65320
2015-05-29,123.015,123.92,118.125,119.13,360950
2015-06-01,119.5,122.895,117.8,118.8,70510
2015-06-02,120.645,122.695,118.005,119.275,77650
2015-06-03,117.76,118.0,109.5,114.3,81950
2015-06-04,115.875,118.495,113.01,115.585,79070
2015-06-05,115.88,117.5,112.9,113.59,38500
2015-06-08,113.19,115.185,111.5,113.495,280650
2015-06-09,115.0,115.0,111.5,111.8,15850
2015-06-10,112.045,114.7,112.005,113.475,24070
2015-06-11,114.51,117.405,114.0,114.655,124170
2015-06-12,113.0,115.2,112.5,114.4,45760
2015-06-15,113.755,115.28,111.215,112.375,32870
2015-06-16,113.495,113.595,110.57,111.88,19080
2015-06-17,113.995,121.3,112.2,119.83,136700
2015-06-18,118.5,121.795,118.025,119.145,38130
2015-06-19,120.0,123.0,117.1,121.695,46760
2015-06-22,123.0,123.0,118.11,119.04,50260
2015-06-23,118.5,121.0,117.39,118.0,37780
2015-06-24,118.0,118.445,114.555,114.97,93530
2015-06-25,114.9,116.49,114.005,114.86,26630
2015-06-26,115.2,115.395,112.37,113.815,41090
2015-06-29,113.0,113.295,111.6,112.625,25970
2015-06-30,113.425,116.465,112.005,112.69,77380
2015-07-01,114.0,116.5,111.01,115.245,75750
2015-07-02,115.895,116.49,114.5,115.28,63870
2015-07-03,115.195,117.0,113.505,116.4,70360
2015-07-06,115.005,118.325,115.0,117.83,41060
2015-07-07,118.84,120.2,117.55,119.49,43170
2015-07-08,116.405,120.2,116.405,118.1,60760
2015-07-09,118.105,121.695,118.1,119.805,46040
2015-07-10,121.8,124.7,118.3,121.37,221540
2015-07-13,121.5,124.5,120.0,121.625,31280
2015-07-14,122.795,123.995,120.8,121.69,12470
2015-07-15,121.605,122.1,119.1,119.77,27920
2015-07-16,119.5,122.235,119.5,120.445,1593970
2015-07-17,121.0,122.0,118.3,119.31,90400
2015-07-20,120.0,120.355,117.805,118.305,23600
2015-07-21,121.4,121.4,116.49,119.04,22600
2015-07-22,118.005,121.0,116.6,118.675,21560
2015-07-23,119.575,123.8,119.225,121.91,85680
2015-07-24,122.295,123.8,120.005,121.325,584720
2015-07-27,120.805,122.995,119.1,121.46,168310
2015-07-28,120.005,122.0,120.0,120.355,200200
2015-07-29,120.52,122.0,119.365,120.475,13460
2015-07-30,121.0,122.46,119.905,120.165,45750
2015-07-31,122.4,124.8,120.7,122.405,40170
2015-08-03,121.065,123.995,120.445,121.77,26760
2015-08-04,122.5,123.2,120.0,120.595,36270
2015-08-05,122.395,122.995,121.5,122.26,20670
2015-08-06,122.99,126.8,121.2,124.635,148220
2015-08-07,126.6,127.7,120.8,122.38,113870
2015-08-10,125.0,134.405,121.205,130.355,226790
2015-08-11,132.6,134.39,130.31,132.815,1177410
2015-08-12,132.815,135.2,130.0,130.795,91920
2015-08-13,131.0,132.005,123.9,129.88,109290
2015-08-14,127.1,130.5,127.1,130.075,22180
2015-08-17,128.3,130.98,127.5,128.475,29280
2015-08-18,128.415,131.0,128.415,130.265,26050
2015-08-19,130.78,132.51,128.9,129.255,22240
2015-08-20,129.95,131.995,127.825,131.065,53140
2015-08-21,131.095,131.625,125.4,130.825,120670
2015-08-24,126.255,130.29,119.765,120.145,191180
2015-08-25,120.685,124.9,119.005,122.67,51500
2015-08-26,122.99,124.0,121.15,122.665,55480
2015-08-27,123.0,123.995,120.175,122.725,24680
2015-08-28,124.505,124.79,122.78,123.525,8460
2015-08-31,127.0,127.0,122.5,123.635,391080
2015-09-01,123.63,125.6,122.5,124.6,1995260
2015-09-02,124.595,125.475,124.445,124.51,41090
2015-09-03,123.805,124.99,123.255,124.53,35850
2015-09-04,123.1,125.0,122.3,123.39,141570
2015-09-07,123.45,124.065,117.5,118.14,33880
2015-09-08,120.005,121.685,117.015,118.38,17370
2015-09-09,119.505,120.745,117.525,119.375,14730
2015-09-10,118.18,118.18,116.1,116.7,7880
2015-09-11,117.91,120.8,116.37,119.28,61390
2015-09-14,121.955,122.0,117.6,119.22,7980
2015-09-15,118.605,121.465,118.0,119.21,675050
2015-09-16,119.58,125.9,118.11,124.14,732270
2015-09-18,121.2,130.7,121.15,128.3,80950
2015-09-21,128.2,132.5,126.5,129.01,51730
2015-09-22,129.005,129.9,123.795,125.9,108300
2015-09-23,124.005,130.3,124.005,129.325,59090
2015-09-24,130.005,133.5,126.9,131.685,118980
2015-09-28,130.655,132.0,127.505,128.755,28240
2015-09-29,127.115,129.5,127.115,128.67,60680
2015-09-30,129.005,133.995,125.765,130.34,128610
2015-10-01,130.995,131.255,128.105,129.375,17660
2015-10-05,129.305,132.395,128.9,131.8,62730
2015-10-06,131.715,132.365,131.695,131.705,52630
2015-10-07,131.705,131.99,129.025,130.3,24050
2015-10-08,131.385,131.385,129.0,130.01,34770
2015-10-09,131.265,136.0,129.1,133.705,124980
2015-10-12,133.005,136.0,131.3,133.005,37290
2015-10-13,132.805,136.095,132.11,135.16,47590
2015-10-14,135.99,138.495,134.1,136.365,332170
2015-10-15,134.8,137.9,133.5,134.675,46980
2015-10-16,134.25,144.9,133.3,138.075,89250
2015-10-19,138.1,141.0,137.0,137.835,94740
2015-10-20,137.965,139.395,135.2,137.85,55910
2015-10-21,136.71,140.395,136.71,139.01,37450
2015-10-23,139.315,141.385,138.225,139.005,152930
2015-10-26,139.01,141.96,138.11,140.68,680970
2015-10-27,139.105,140.9,138.835,139.6,16770
2015-10-28,139.345,140.88,138.11,139.525,25200
2015-10-29,140.115,141.7,139.505,140.035,20560
2015-10-30,142.0,142.0,139.495,139.505,13020
2015-11-02,138.905,140.5,138.095,140.025,31590
2015-11-03,140.275,143.5,140.0,142.865,58710
2015-11-04,141.8,144.6,140.205,142.615,77510
2015-11-05,140.905,143.9,140.0,140.0,113290
2015-11-06,140.1,141.0,140.0,140.02,109490
2015-11-09,140.005,140.6,138.13,140.065,52680
2015-11-10,140.02,140.49,140.0,140.01,49360
2015-11-11,140.7,142.315,140.13,140.675,12170
2015-11-13,142.5,142.5,138.11,139.15,23210
2015-11-16,138.105,143.31,137.37,142.56,45240
2015-11-17,142.3,142.8,140.0,140.01,18920
2015-11-18,141.0,143.5,139.85,142.575,41550
2015-11-19,142.035,143.5,140.505,142.93,26550
2015-11-20,142.045,143.9,140.8,141.65,24030
2015-11-23,141.0,143.295,141.0,142.03,28450
2015-11-24,142.0,148.1,140.9,145.505,52630
2015-11-26,147.5,154.1,145.99,153.125,175670
2015-11-27,153.125,157.49,148.31,154.77,479330
2015-11-30,154.1,165.0,151.4,161.575,191120
2015-12-01,161.7,164.6,155.64,157.21,311970
2015-12-02,157.205,159.89,154.1,156.495,32230
2015-12-03,157.0,158.95,155.205,157.875,22850
2015-12-04,155.725,157.0,151.1,154.79,77620
2015-12-07,156.0,156.0,152.105,155.03,48510
2015-12-08,154.995,155.2,152.105,153.28,15360
2015-12-09,153.995,154.0,150.13,152.47,68170
2015-12-10,152.4,155.5,151.005,154.965,25980
2015-12-11,154.895,155.655,150.51,151.25,24990
2015-12-14,152.95,152.95,148.09,150.755,31090
2015-12-15,151.205,153.7,147.2,152.735,34320
2015-12-16,152.205,152.9,149.505,151.18,8810
2015-12-17,151.395,157.05,150.095,155.64,57390
2015-12-18,154.995,158.4,154.995,157.28,44710
2015-12-21,158.795,172.6,156.2,164.76,408240
2015-12-22,165.785,165.81,157.6,160.005,246740
2015-12-23,160.0,175.94,159.7,168.66,349660
2015-12-24,169.9,171.0,163.1,168.835,259540
2015-12-28,170.0,174.5,163.8,171.065,386460
2015-12-29,170.335,177.9,168.105,175.055,360550
2015-12-30,176.0,176.9,172.0,175.83,161570
2015-12-31,176.005,176.005,173.5,175.015,1236330
2016-01-01,177.5,177.56,173.505,175.31,68960
2016-01-04,176.8,176.8,168.305,170.825,107390
2016-01-05,170.9,171.0,167.01,168.17,57600
2016-01-06,168.105,168.11,163.235,165.305,657670
2016-01-07,164.0,165.68,161.3,162.635,95320
2016-01-08,164.6,173.0,163.8,171.16,85500
2016-01-11,168.505,171.7,167.5,170.38,39990
2016-01-12,169.225,170.695,165.315,167.035,20090
2016-01-13,166.595,168.895,160.7,166.42,64460
2016-01-14,165.22,165.22,162.015,163.57,91860
2016-01-15,163.395,164.5,160.0,162.5,131780
2016-01-18,160.295,162.085,155.65,159.325,67120
2016-01-19,159.005,163.0,157.305,162.59,36100
2016-01-20,162.0,162.0,155.305,159.705,48240
2016-01-21,160.0,162.36,158.0,161.24,31530
2016-01-22,161.0,163.75,160.405,161.95,57750
2016-01-25,163.8,163.8,157.105,158.065,33770
2016-01-27,158.77,158.77,152.445,156.355,61600
2016-01-28,156.3,158.9,154.005,155.415,22650
2016-01-29,154.1,156.995,153.205,155.785,51270
2016-02-01,157.45,157.59,154.55,155.04,24190
2016-02-02,157.59,157.59,151.06,152.67,23350
2016-02-03,151.065,151.995,147.0,148.315,20110
2016-02-04,149.94,151.0,146.7,148.025,28660
2016-02-05,151.44,152.5,144.395,147.655,1767010
2016-02-08,149.94,152.495,147.4,149.115,26060
2016-02-09,148.095,149.795,144.63,147.09,22500
2016-02-10,146.9,149.495,145.205,147.355,24850
2016-02-11,147.3,147.3,138.2,142.645,56560
2016-02-12,142.6,152.43,135.5,142.1,146070
2016-02-15,139.515,146.0,139.515,145.165,1552690
2016-02-16,144.2,145.995,139.0,140.24,12140
2016-02-17,140.505,145.0,134.905,141.705,44810
2016-02-18,141.25,144.4,139.8,142.985,22110
2016-02-19,146.6,146.6,142.31,144.53,8660
2016-02-22,144.6,145.5,142.1,142.685,6490
2016-02-23,144.9,150.1,138.3,146.82,85610
2016-02-24,145.005,146.495,142.8,145.32,20740
2016-02-25,144.02,145.8,141.73,144.87,179620
2016-02-26,145.105,145.2,142.8,143.995,1438620
2016-02-29,144.4,147.0,139.37,143.035,37400
2016-03-01,145.99,152.43,142.735,150.01,555850
2016-03-02,151.0,151.495,145.49,146.365,37280
2016-03-03,148.1,154.8,148.1,154.125,313490
2016-03-04,153.175,154.995,149.57,150.915,58120
2016-03-08,149.575,149.8,144.2,145.165,62650
2016-03-09,143.805,145.125,141.005,144.37,73660
2016-03-10,145.89,147.8,144.21,144.785,24920
2016-03-11,145.0,146.695,143.5,143.855,629210
2016-03-14,145.37,145.5,142.59,143.605,31720
2016-03-15,143.605,146.4,140.6,141.525,50970
2016-03-16,143.01,147.35,138.3,144.865,169410
2016-03-17,144.9,147.5,142.105,145.94,89320
2016-03-18,147.5,152.0,144.715,150.97,87020
2016-03-21,149.575,161.9,148.1,153.675,153290
2016-03-22,155.9,168.0,152.57,158.215,109450
2016-03-23,159.895,160.995,154.5,156.285,57970
2016-03-28,154.595,156.41,153.5,155.385,38410
2016-03-29,155.985,157.09,152.5,155.175,1005560
2016-03-30,154.2,157.0,154.2,155.525,18320
2016-03-31,155.805,162.4,154.2,159.175,147670
2016-04-01,159.705,161.745,157.25,159.905,270080
2016-04-04,159.0,161.2,158.19,159.99,27550
2016-04-05,159.995,162.5,159.125,161.165,32720
2016-04-06,161.2,162.5,159.795,162.19,21650
2016-04-07,160.205,164.0,157.2,158.785,21600
2016-04-08,158.7,159.305,157.095,158.175,5360
2016-04-11,158.175,172.4,156.5,167.63,342260
2016-04-12,166.9,170.0,162.55,169.63,131360
