week_start_date,step,phase,rho_cash,w_ret,w_vol,w_cvar,w_mdd,log_prob,entropy,weekly_return,meta_loss,rho_clipped
2015-07-06T00:00:00.000000000,0,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0
2015-07-13T00:00:00.000000000,5,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.008727,0.000000,0
2015-07-20T00:00:00.000000000,10,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.027313,0.000000,0
2015-07-27T00:00:00.000000000,15,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,-0.001937,0.000000,0
2015-08-03T00:00:00.000000000,20,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,-0.043713,0.000000,0
2015-08-10T00:00:00.000000000,25,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.023556,0.000000,0
2015-08-17T00:00:00.000000000,30,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,-0.039443,0.000000,0
2015-08-24T00:00:00.000000000,35,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,-0.015402,0.000000,0
2015-08-31T00:00:00.000000000,40,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,-0.026766,0.000000,0
2015-09-07T00:00:00.000000000,45,train,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000,-0.026301,0.000000,0
2015-09-14T00:00:00.000000000,50,train,0.0525,0.9857,0.0062,0.0042,0.0039,-0.993632,0.578213,0.013988,0.000000,0
2015-09-21T00:00:00.000000000,54,train,0.0623,0.9379,0.0160,0.0226,0.0235,-0.149350,0.582582,0.025159,-0.000578,0
2015-09-28T00:00:00.000000000,58,train,0.0721,0.8613,0.0591,0.0415,0.0381,0.508869,0.585889,-0.025539,-0.008154,0
2015-10-05T00:00:00.000000000,62,train,0.0807,0.7956,0.0432,0.1039,0.0572,-1.232494,0.589091,0.009817,0.006100,0
2015-10-12T00:00:00.000000000,67,train,0.1006,0.7236,0.1154,0.0804,0.0805,-0.432733,0.591322,0.030326,0.010233,0
2015-10-19T00:00:00.000000000,72,train,0.1028,0.6366,0.0960,0.1301,0.1373,0.504419,0.594113,-0.003800,-0.012835,0
2015-10-26T00:00:00.000000000,76,train,0.1258,0.6106,0.1438,0.0926,0.1530,0.076953,0.596554,0.021161,-0.000633,0
2015-11-02T00:00:00.000000000,81,train,0.1365,0.4742,0.2130,0.1354,0.1774,-0.932512,0.599559,-0.014696,0.002534,0
2015-11-09T00:00:00.000000000,86,train,0.1390,0.4599,0.1298,0.2787,0.1315,-1.184416,0.602780,-0.002415,-0.024220,0
2015-11-16T00:00:00.000000000,89,train,0.1463,0.4254,0.1800,0.1778,0.2168,-0.434934,0.606307,-0.016177,-0.049343,0
2015-11-23T00:00:00.000000000,94,train,0.1715,0.3489,0.2284,0.1550,0.2677,-0.229260,0.609678,0.008851,-0.004689,0
2015-11-30T00:00:00.000000000,98,train,0.1753,0.2676,0.2706,0.2612,0.2006,1.020389,0.612982,0.006012,-0.003527,0
2015-12-07T00:00:00.000000000,103,train,0.1722,0.1584,0.2909,0.2373,0.3134,0.174277,0.616386,-0.001928,0.022511,0
2015-12-14T00:00:00.000000000,108,train,0.1743,0.2691,0.2589,0.3004,0.1716,0.703543,0.620053,-0.016901,0.006692,0
2015-12-21T00:00:00.000000000,113,train,0.1690,0.2266,0.2113,0.3312,0.2309,0.681353,0.623579,0.005387,0.006811,0
2015-12-28T00:00:00.000000000,117,train,0.1867,0.2878,0.2060,0.2971,0.2090,0.669365,0.626889,0.009083,0.002876,0
2016-01-04T00:00:00.000000000,122,train,0.1491,0.3335,0.2330,0.2055,0.2280,-1.532445,0.629997,0.009450,0.002373,0
2016-01-11T00:00:00.000000000,127,train,0.1845,0.1966,0.2584,0.3531,0.1919,-1.222755,0.633524,-0.030147,-0.096438,0
