week_start_date,step,rho_cash,w_ret,w_vol,w_cvar,w_mdd,log_prob,entropy
2015-09-10T00:00:00.000000000,0,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-09-14T00:00:00.000000000,2,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-09-21T00:00:00.000000000,6,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-09-28T00:00:00.000000000,10,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-10-05T00:00:00.000000000,14,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-10-12T00:00:00.000000000,19,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-10-19T00:00:00.000000000,24,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-10-26T00:00:00.000000000,28,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-11-02T00:00:00.000000000,33,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-11-09T00:00:00.000000000,38,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-11-16T00:00:00.000000000,42,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-11-23T00:00:00.000000000,47,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-11-30T00:00:00.000000000,51,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-12-07T00:00:00.000000000,56,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-12-14T00:00:00.000000000,61,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-12-21T00:00:00.000000000,66,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2015-12-28T00:00:00.000000000,70,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-01-04T00:00:00.000000000,75,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-01-11T00:00:00.000000000,80,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-01-18T00:00:00.000000000,85,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-01-25T00:00:00.000000000,90,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-02-01T00:00:00.000000000,94,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-02-08T00:00:00.000000000,99,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-02-15T00:00:00.000000000,104,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-02-22T00:00:00.000000000,109,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-02-29T00:00:00.000000000,114,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-03-08T00:00:00.000000000,119,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
2016-03-14T00:00:00.000000000,123,0.0500,1.0000,0.0000,0.0000,0.0000,0.000000,0.000000
